country,date,new_cases,new_deaths,new_tests,new_vaccinations
Greece,2020-02-26,0,0,0,0
Greece,2020-02-27,1,0,0,0
Greece,2020-02-28,2,0,0,0
Greece,2020-02-29,1,0,0,0
Greece,2020-03-01,3,0,0,0
Greece,2020-03-02,0,0,0,0
Greece,2020-03-03,0,0,0,0
Greece,2020-03-04,0,0,0,0
Greece,2020-03-05,3,0,0,0
Greece,2020-03-06,22,0,0,0
Greece,2020-03-07,13,0,0,0
Greece,2020-03-08,21,0,0,0
Greece,2020-03-09,7,0,0,0
Greece,2020-03-10,11,0,0,0
Greece,2020-03-11,6,0,0,0
Greece,2020-03-12,9,1,0,0
Greece,2020-03-13,34,0,520,0
Greece,2020-03-14,57,0,700,0
Greece,2020-03-15,38,2,600,0
Greece,2020-03-16,103,1,320,0
Greece,2020-03-17,21,0,0,0
Greece,2020-03-18,35,1,0,0
Greece,2020-03-19,31,0,0,0
Greece,2020-03-20,46,0,0,0
Greece,2020-03-21,31,3,658,0
Greece,2020-03-22,35,5,176,0
Greece,2020-03-23,94,2,638,0
Greece,2020-03-24,71,2,427,0
Greece,2020-03-25,48,3,1424,0
Greece,2020-03-26,78,2,0,0
Greece,2020-03-27,71,4,0,0
Greece,2020-03-28,74,2,886,0
Greece,2020-03-29,95,4,788,0
Greece,2020-03-30,95,6,810,0
Greece,2020-03-31,56,5,771,0
Greece,2020-04-01,102,6,618,0
Greece,2020-04-02,61,1,1494,0
Greece,2020-04-03,139,3,1494,0
Greece,2020-04-04,99,6,896,0
Greece,2020-04-05,60,9,2120,0
Greece,2020-04-06,62,5,740,0
Greece,2020-04-07,20,6,2391,0
Greece,2020-04-08,77,2,3944,0
Greece,2020-04-09,52,2,1106,0
Greece,2020-04-10,71,3,1798,0
Greece,2020-04-11,56,4,1912,0
Greece,2020-04-12,70,3,4917,0
Greece,2020-04-13,33,5,1170,0
Greece,2020-04-14,31,1,0,0
Greece,2020-04-15,25,2,0,0
Greece,2020-04-16,22,1,2001,0
Greece,2020-04-17,15,3,2255,0
Greece,2020-04-18,0,0,1645,0
Greece,2020-04-19,0,0,0,0
Greece,2020-04-20,28,5,0,0
Greece,2020-04-21,10,6,1322,0
Greece,2020-04-22,156,5,1326,0
Greece,2020-04-23,7,0,2249,0
Greece,2020-04-24,55,4,2166,0
Greece,2020-04-25,27,5,1680,0
Greece,2020-04-26,16,0,1521,0
Greece,2020-04-27,0,0,1486,0
Greece,2020-04-28,28,6,3739,0
Greece,2020-04-29,0,0,2297,0
Greece,2020-04-30,42,3,3040,0
Greece,2020-05-01,15,1,2081,0
Greece,2020-05-02,0,0,956,0
Greece,2020-05-03,29,3,1125,0
Greece,2020-05-04,6,1,1619,0
Greece,2020-05-05,6,2,2799,0
Greece,2020-05-06,10,0,3302,0
Greece,2020-05-07,21,1,2991,0
Greece,2020-05-08,15,1,4248,0
Greece,2020-05-09,13,2,3093,0
Greece,2020-05-10,19,1,1493,0
Greece,2020-05-11,6,0,486,0
Greece,2020-05-12,10,0,6691,0
Greece,2020-05-13,18,1,5988,0
Greece,2020-05-14,16,3,4191,0
Greece,2020-05-15,10,1,3782,0
Greece,2020-05-16,40,4,6268,0
